Country,LAT,LONG,ALT_NAME,FULL_NAME,2000 Female,2000 Male,2010 Female,2010 Male,2012 Female,2012 Male,2013 Female,2013 Male,2015 Female,2015 Male
Democratic Republic of the Congo,0,25,Democratic Republic of the Congo,Democratic Republic of the Congo,151.5,170,108.3,123.5,137,153.9,110.5,126,91.3,104.9
Denmark,56,10,Denmark,Kingdom of Denmark,5,6.1,3.7,4.4,3.3,4,3.2,3.9,3.2,3.9
Djibouti,11.5,42.5,Djibouti,Republic of Djibouti,92.7,108.4,69.4,82.5,75.2,86.3,63.3,75.7,59.3,71.1
Dominica,15.5,-61.333333,Dominica,Commonwealth of Dominica,14.2,16.4,17.3,20.1,11.5,13.6,10.4,12.3,19.6,22.8
Dominican Republic,19,-70.666667,Dominican Republic,Dominican Republic,37.4,44.9,30.5,36.9,24.3,29.8,25.3,30.9,27.7,33.8
Ecuador,-2,-77.5,Ecuador,Republic of Ecuador,30.4,38.3,22.2,28.1,20.4,26.1,19.7,25,19,24
Egypt,27,30,Egypt,Arab Republic of Egypt,44.8,48.1,27.4,30.6,19.9,22,20.7,22.9,22.5,25.4
El Salvador,13.833333,-88.916667,El Salvador,Republic of El Salvador,28.9,35.7,17.8,22.2,14,17.6,13.9,17.4,14.9,18.6
Equatorial Guinea,2,10,Equatorial Guinea,Republic of Equatorial Guinea,143.3,160.6,103.6,117.6,94.2,105.9,90.1,101.5,87.6,100.5
Eritrea,15,39,Eritrea,State of Eritrea,81.5,96.4,49.9,61,46.5,57,44.6,54.8,41.4,51.3
Estonia,59,26,Estonia,Republic of Estonia,9.7,12.3,4.1,5.1,3.2,4,3,3.8,2.6,3.2
Ethiopia,8,38,Ethiopia,Federal Democratic Republic of Ethiopia,135.2,154.5,69.3,81.8,62,74.2,58.5,70.1,53.6,64.5
Fiji,-18,178,Fiji,Republic of Fiji,22.3,26.7,21.7,26,19.8,24.9,21,26.1,20.3,24.3
Finland,64,26,Finland,Republic of Finland,3.8,4.7,2.7,3.3,2.6,2.3,3.2,2.8,2.1,2.6
France,46,2,France,French Republic,4.7,6,3.8,4.7,3.6,4.5,3.7,4.6,3.9,4.8
Gabon,-1,11.75,Gabon,Gabonese Republic,78.7,91.7,57.8,68.5,56.6,67.1,51,61,45.8,55.3
Gambia,13.5,-15.5,Gambia,Republic of The Gambia,112.7,124.6,76.1,86.4,67.9,77.9,68.7,78.5,64.1,74.1
Georgia,41.999981,43.499905,Georgia,Georgia,31.2,39.9,14.5,18.6,17.3,22.4,11.4,14.6,10.5,13.3
Germany,51.5,10.5,Germany,Federal Republic of Germany,4.8,5.9,3.8,4.6,3.7,4.5,3.5,4.2,3.4,4.1
Ghana,8,-2,Ghana,Republic of Ghana,93.7,107.3,68.6,80.4,66.4,77.3,72.3,84.1,56.2,66.7
Greece,39,22,Greece,Hellenic Republic,7.1,8.4,4.4,5,4.4,5.1,4,4.7,4.3,4.9
Grenada,12.116667,-61.666667,Grenada,Grenada,14.7,17.1,12.2,14.1,12.4,14.6,10.8,12.7,10.9,12.7
Guatemala,15.5,-90.25,Guatemala,Republic of Guatemala,46.3,54.7,30.9,37.8,28.7,35.2,27.8,34.2,26,32.1
Guinea,11,-10,Guinea,Republic of Guinea,162.1,177.9,105.7,117.7,96.2,105.9,95.1,106.1,88.2,99
Guinea-Bissau,12,-15,Guinea-Bissau,Republic of Guinea-Bissau,163.9,190.4,106.4,124.8,119.3,138.6,114.2,133,84.6,99.9
Guyana,5,-59,Guyana,Co-operative Republic of Guyana,40.9,52.2,36.4,46.5,30.5,39.8,31.7,41.1,34.4,44.2
Haiti,19,-72.416667,Haiti,Republic of Haiti,97.5,111.8,137.7,150,69.4,81.5,66.7,78.6,63.1,74.6
Honduras,15,-86.5,Honduras,Republic of Honduras,33.5,41.1,21.7,27,20.1,25.5,19.7,24.6,18.1,22.6
Hungary,47,20,Hungary,Republic of Hungary,10.1,12.2,6,7.1,5.7,6.7,5.6,6.5,5.4,6.4
Iceland,65,-18,Iceland,Republic of Iceland,3.6,4.4,2.2,2.6,2.1,2.5,1.9,2.3,1.8,2.2
India,20,77,India,Republic of India,96.1,86.6,62.9,57,58.7,54.1,54.7,50.8,49.2,46.3
Indonesia,-5,120,Indonesia,Republic of Indonesia,47.4,57,29.3,36.8,27.2,34.7,25.6,32.9,23.9,30.3
Iran,32,53,Iran,Islamic Republic of Iran,33.6,35.7,18.4,20,16.7,18.5,15.9,17.6,14.9,16.2
Iraq,33,44,Iraq,Republic of Iraq,40.9,48.3,33.1,39.8,30.9,37.7,30.6,37.2,28.9,34.9
Ireland,53,-8,Ireland,Ireland,6.4,7.8,3.8,4.6,3.6,4.3,3.5,4.2,3.3,3.9
Israel,31.5,34.75,Israel,State of Israel,6.4,7.4,4.2,4.9,3.9,4.5,3.7,4.3,3.7,4.3
Italy,42.833333,12.833333,Italy,Italian Republic,5.1,5.9,3.7,4.3,3.5,4.1,3.3,3.9,3.2,3.8
Jamaica,18.25,-77.5,Jamaica,Jamaica,19.1,24.8,15.7,20.3,14.6,18.9,14.5,18.7,13.7,17.6
Japan,36,138,Japan,Japan,4.1,4.8,3,3.4,2.8,3.2,2.7,3.1,2.5,2.9
Jordan,31,36,Jordan,Hashemite Kingdom of Jordan,26.2,29,19.7,21.9,18,20.1,17.6,19.7,16.9,18.9
Kazakhstan,48,68,Kazakhstan,Republic of Kazakhstan,37.4,49.5,18.3,24.8,15.8,21.5,13.9,18.7,12,16.1
Kenya,1,38,Kenya,Republic of Kenya,101.9,113.6,57.5,66.6,68,77.7,65.7,75.4,45.2,53.4
Kiribati,-5,-170,Kiribati,Republic of Kiribati,64.7,76.1,57.4,68.1,54.9,64.6,53.4,62.8,50.9,60.7
Kuwait,29.5,47.75,Kuwait,State of Kuwait,11.6,13.6,9.9,11.5,10.1,11.9,8.8,10.2,7.9,9.2
Kyrgyzstan,41,75,Kyrgyzstan,Kyrgyz Republic,43.7,53.4,26.6,33.2,23.2,29.7,21.4,26.9,18.9,23.7
Laos,18,105,Laos,Lao People's Democratic Republic,108.9,126.1,72.9,86.2,66.4,76.6,65,77.4,60.6,72.5
Latvia,57,25,Latvia,Republic of Latvia,15.4,18.8,8.6,10.2,7.9,9.4,7.6,9.1,7.2,8.6
Lebanon,33.833333,35.833333,Lebanon,Republic of Lebanon,19.1,20.9,9.7,10.6,8.8,9.7,8.7,9.6,7.9,8.6
Lesotho,-29.5,28.25,Lesotho,Kingdom of Lesotho,108.5,124.5,93.2,108.1,92.4,106.5,90.6,105.1,83.1,97.1
