Country,LAT,LONG,ALT_NAME,FULL_NAME,2000_Male,2010_Male,2012_Male,2013_Male,2015_Male
Grenada,12.116667,-61.666667,Grenada,Grenada,17.1,14.1,14.6,12.7,12.7
Guatemala,15.5,-90.25,Guatemala,Republic of Guatemala,54.7,37.8,35.2,34.2,32.1
Guinea,11,-10,Guinea,Republic of Guinea,177.9,117.7,105.9,106.1,99
Guinea-Bissau,12,-15,Guinea-Bissau,Republic of Guinea-Bissau,190.4,124.8,138.6,133,99.9
Guyana,5,-59,Guyana,Co-operative Republic of Guyana,52.2,46.5,39.8,41.1,44.2
Haiti,19,-72.416667,Haiti,Republic of Haiti,111.8,150,81.5,78.6,74.6
Honduras,15,-86.5,Honduras,Republic of Honduras,41.1,27,25.5,24.6,22.6
Hungary,47,20,Hungary,Republic of Hungary,12.2,7.1,6.7,6.5,6.4
Iceland,65,-18,Iceland,Republic of Iceland,4.4,2.6,2.5,2.3,2.2
India,20,77,India,Republic of India,86.6,57,54.1,50.8,46.3
Indonesia,-5,120,Indonesia,Republic of Indonesia,57,36.8,34.7,32.9,30.3
Iran,32,53,Iran,Islamic Republic of Iran,35.7,20,18.5,17.6,16.2
Iraq,33,44,Iraq,Republic of Iraq,48.3,39.8,37.7,37.2,34.9
Ireland,53,-8,Ireland,Ireland,7.8,4.6,4.3,4.2,3.9
Israel,31.5,34.75,Israel,State of Israel,7.4,4.9,4.5,4.3,4.3
Italy,42.833333,12.833333,Italy,Italian Republic,5.9,4.3,4.1,3.9,3.8
Jamaica,18.25,-77.5,Jamaica,Jamaica,24.8,20.3,18.9,18.7,17.6
Japan,36,138,Japan,Japan,4.8,3.4,3.2,3.1,2.9
Jordan,31,36,Jordan,Hashemite Kingdom of Jordan,29,21.9,20.1,19.7,18.9
Kazakhstan,48,68,Kazakhstan,Republic of Kazakhstan,49.5,24.8,21.5,18.7,16.1
Kenya,1,38,Kenya,Republic of Kenya,113.6,66.6,77.7,75.4,53.4
Kiribati,-5,-170,Kiribati,Republic of Kiribati,76.1,68.1,64.6,62.8,60.7
Kuwait,29.5,47.75,Kuwait,State of Kuwait,13.6,11.5,11.9,10.2,9.2
Kyrgyzstan,41,75,Kyrgyzstan,Kyrgyz Republic,53.4,33.2,29.7,26.9,23.7
Laos,18,105,Laos,Lao People's Democratic Republic,126.1,86.2,76.6,77.4,72.5
Latvia,57,25,Latvia,Republic of Latvia,18.8,10.2,9.4,9.1,8.6
Lebanon,33.833333,35.833333,Lebanon,Republic of Lebanon,20.9,10.6,9.7,9.6,8.6
Lesotho,-29.5,28.25,Lesotho,Kingdom of Lesotho,124.5,108.1,106.5,105.1,97.1
Liberia,6.5,-9.5,Liberia,Republic of Liberia,190.7,94.8,80.1,76.5,74.7
Libya,25,17,Libya,Libya,30.9,18.3,16.9,16,14.7
Lithuania,56,24,Lithuania,Republic of Lithuania,13,7.3,5.9,5.4,5.6
Luxembourg,49.75,6.166667,Luxembourg,Grand Duchy of Luxembourg,5.2,2.6,2.4,2.2,2
Madagascar,-20,47,Madagascar,Republic of Madagascar,114.9,64.7,62.3,60,53.6
Malawi,-13.5,34,Malawi,Republic of Malawi,181.9,95.9,75.6,72.4,68.3
Malaysia,2.5,112.5,Malaysia,Malaysia,11.3,8.8,9.3,9.3,7.7
Maldives,3.2,73,Maldives,Republic of Maldives,48.5,14.3,11.5,10.8,9.4
Mali,17,-4,Mali,Republic of Mali,228,142.8,133.7,128.5,120.4
Malta,35.916667,14.433333,Malta,Republic of Malta,8.4,7.3,7.3,6.6,6.9
Marshall Islands,10,167,Marshall Islands,Republic of the Marshall Islands,45.5,43.2,42.3,41.6,39.9
Mauritania,20,-12,Mauritania,Islamic Republic of Mauritania,122.8,106.2,91.9,98.1,95.8
Mauritius,-20.3,57.583333,Mauritius,Republic of Mauritius,20.8,16.9,16.8,15.9,15
Mexico,23,-102,Mexico,United Mexican States,28,18.4,17.7,15.8,14.4
Micronesia,5,152,Federated States of Micronesia,Federated States of Micronesia,58.4,44.5,42.1,40.1,38.2
Monaco,43.733333,7.4,Monaco,Principality of Monaco,5.7,4.4,4.1,4.1,3.9
Mongolia,46,105,Mongolia,Mongolia,72.8,35.6,32.6,37.6,26.6
Montenegro,42.5,19.3,Montenegro,Montenegro,14.7,7.2,6.3,5.6,4.9
Morocco,32,-5,Morocco,Kingdom of Morocco,54.2,36.4,34.4,33.6,30.3
Mozambique,-18.25,35,Mozambique,Republic of Mozambique,177.4,107.8,94.4,91.7,82.9
Myanmar,22,98,Burma,Union of Burma,88.9,64.7,57.5,55.4,54.9
Namibia,-22,17,Namibia,Republic of Namibia,80.9,58.1,42.5,53.9,49.4
Nauru,-0.533333,166.916667,Nauru,Republic of Nauru,45,43.1,40.8,40.2,38.9
Nepal,28,84,Nepal,Federal Democratic Republic of Nepal,82.1,47.6,44.1,42.1,37.9
Netherlands,52.5,5.75,Netherlands,Kingdom of the Netherlands,6.8,4.9,4.5,4.4,4.2
New Zealand,-42,174,New Zealand,New Zealand,8.2,6.9,6.3,6.9,6.2
Nicaragua,13,-85,Nicaragua,Republic of Nicaragua,44.2,28.9,27.1,26.1,24.5
Niger,16,8,Niger,Republic of Niger,232.1,128.1,117,108.3,99.8
Nigeria,10,8,Nigeria,Federal Republic of Nigeria,195.5,137.3,129.3,123.8,114.9
Niue,-19.033333,-169.866667,Niue,Niue,25.6,29,27.9,27.1,25.3
Norway,62,10,Norway,Kingdom of Norway,5.4,3.6,3.1,3.1,2.9
Oman,21,57,Oman,Sultanate of Oman,18.2,12.8,12.7,12.5,12.6
Pakistan,30,70,Pakistan,Islamic Republic of Pakistan,115.1,95.2,89.5,89.2,84.6
Palau,6,134,Palau,Republic of Palau,29.7,21.5,22.8,19.4,18.2
Panama,9,-80,Panama,Republic of Panama,28.7,22,20.5,19.8,18.8
Papua New Guinea,-6,147,Papua New Guinea,Independent State of Papua New Guinea,83.6,70.9,67.8,66,61.8
Paraguay,-22.993333,-57.996389,Paraguay,Republic of Paraguay,36.7,26.4,24.3,24.1,22.5
Peru,-10,-76,Peru,Republic of Peru,41.6,23,19.9,18.2,18.4
Philippines,13,122,Philippines,Republic of the Philippines,43.9,35.4,33.4,33.3,31.2
Poland,52,20,Poland,Republic of Poland,10.1,6.4,5.4,5.7,5.6
Portugal,39.5,-8,Portugal,Portuguese Republic,7.9,4.2,4,4.1,3.9
Qatar,25.5,51.25,Qatar,State of Qatar,13.4,9.8,7.9,8.9,8.7
South Korea,37,127.5,South Korea,Republic of Korea,6.4,4.4,4.1,4,3.7
Moldova,47,29,Moldova,Republic of Moldova,34.7,19.1,19.6,17.1,17.6
Romania,46,25,Romania,Romania,29.8,15.4,13.5,13.2,12.2
Russia,60,100,Russia,Russian Federation,26.3,13.4,11.5,11.2,10.6
Rwanda,-2,30,Rwanda,Republic of Rwanda,192.7,68.6,59,56,45.4
Saint Kitts and Nevis,17.333333,-62.75,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,20.3,13.7,10,11.1,11.4
Saint Lucia,13.883333,-60.966667,Saint Lucia,Saint Lucia,19.6,17.6,19.4,15.9,15.6
Saint Vincent and the Grenadines,13.083333,-61.2,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,24.2,22.7,25.4,20.7,20
Samoa,-13.803096,-172.178309,Samoa,Independent State of Samoa,23.5,20.3,19.4,19.7,19
San Marino,43.933333,12.416667,San Marino,Republic of San Marino,6,3.8,3.5,3.4,3.1
Sao Tome and Principe,1,7,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,-9999,60.7,57.5,55.1,51.5
Saudi Arabia,25,45,Saudi Arabia,Kingdom of Saudi Arabia,24.3,18.1,9.3,16.6,15.5
Senegal,14,-14,Senegal,Republic of Senegal,140.9,69.6,64.5,60.1,54
Serbia,44,21,Serbia,Republic of Serbia,13.9,8.4,7.3,7.3,7.3
Seychelles,-4.583333,55.666667,Seychelles,Republic of Seychelles,15.3,15.3,14.1,15.2,14.6
Sierra Leone,8.5,-11.5,Sierra Leone,Republic of Sierra Leone,246,168.4,190,168.7,127.3
Singapore,1.366667,103.8,Singapore,Republic of Singapore,4.3,3.1,3.1,3,2.9
Slovakia,48.666667,19.5,Slovakia,Slovak Republic,12.9,9.2,8.2,7.9,8
Slovenia,46.25,15.166667,Slovenia,Republic of Slovenia,6,3.6,3.4,3.2,2.8
Solomon Islands,-8,159,Solomon Islands,Solomon Islands,36,34.9,34.4,32.9,30.7
Somalia,6,48,Somalia,Somalia,181.6,167,153.8,151.8,143.4
South Africa,-30,26,South Africa,South Africa,81.3,58.7,49.1,48.3,46.5
South Sudan,8,30,South Sudan,Republic of South Sudan,190.1,116.3,109.2,104.3,97.5
Spain,40,-4,Spain,Kingdom of Spain,7,5,4.8,4.5,4.4
Sri Lanka,7,81,Sri Lanka,Democratic Socialist Republic of Sri Lanka,17.7,11.9,10.4,10.4,10.7
West Bank,31.666667,35.25,West Bank,State of Palestine,32,25.7,24.4,23.6,22.9
Sudan,16,30,Sudan,Republic of the Sudan,111.9,85.3,78.6,81.4,74.8
Suriname,4,-56,Suriname,Republic of Suriname,38.4,27.7,23.2,25.4,23.8
Swaziland,-26.5,31.5,Swaziland,Kingdom of Swaziland,135.2,93.6,84.5,85,65.2
Sweden,62,15,Sweden,Kingdom of Sweden,4.5,3.3,3.2,3.3,3.3
Switzerland,47,8,Switzerland,Swiss Confederation,6.2,4.9,4.7,4.6,4.3
Syria,35,38,Syria,Syrian Arab Republic,25.6,16.8,16.5,16,14.1
Tajikistan,39,71,Tajikistan,Republic of Tajikistan,100.9,58,64.1,52.8,49.7
Thailand,15,100,Thailand,Kingdom of Thailand,25.5,16.3,15,14.7,13.8
Macedonia,41.833333,22,Macedonia,The former Yugoslav Republic of Macedonia,17.1,10.6,-9999,7,5.8
